TransactionID,Date,CustomerID,Age,Gender,Location,ProductID,Category,Quantity,UnitPrice,PaymentType,PromotionApplied,DiscountAmount,GiftWrap,Event,CustomerSatisfaction,ReturnFlag
15,28-12-2018,231,66,Female,City_11,609,Electronics,3,37.22133377,Debit Card,TRUE,0,TRUE,Christmas Market,3,TRUE
16,24-12-2018,216,51,Male,City_2,540,Electronics,2,92.89284394,Credit Card,TRUE,0,FALSE,None,2,FALSE
17,20-12-2019,447,23,Other,City_17,346,Clothing,1,47.16863787,Cash,FALSE,0,FALSE,Christmas Market,1,TRUE
18,11-11-2021,60,44,Other,City_20,488,Toys,1,91.25614092,Debit Card,FALSE,0,FALSE,None,1,FALSE
19,13-12-2018,450,52,Other,City_14,332,Decorations,3,20.88022516,Online Payment,TRUE,0,TRUE,Christmas Market,5,FALSE
20,29-12-2020,75,52,Female,City_2,267,Toys,4,82.67500774,Credit Card,TRUE,33.0700031,TRUE,Black Friday,2,FALSE
21,24-12-2022,315,37,Female,City_10,722,Decorations,2,48.9819344,Debit Card,FALSE,0,FALSE,Christmas Market,3,TRUE
22,28-11-2018,295,27,Female,City_3,138,Clothing,4,20.70010309,Cash,TRUE,8.280041237,FALSE,Black Friday,4,FALSE
23,27-12-2020,354,44,Male,City_10,526,Food,3,36.72797537,Credit Card,FALSE,11.01839261,TRUE,Black Friday,2,FALSE
24,18-11-2019,170,27,Female,City_12,521,Electronics,3,20.34166296,Online Payment,FALSE,0,TRUE,None,2,TRUE
25,30-11-2023,154,56,Other,City_16,251,Clothing,3,16.15314336,Credit Card,FALSE,4.845943008,FALSE,Black Friday,3,FALSE
26,24-12-2018,113,18,Male,City_9,648,Decorations,2,29.32995627,Credit Card,FALSE,5.865991254,TRUE,Black Friday,2,FALSE
27,06-12-2021,19,35,Male,City_20,696,Decorations,2,41.35014224,Credit Card,TRUE,0,FALSE,None,1,TRUE
28,03-12-2019,52,51,Male,City_6,917,Electronics,2,18.30060647,Credit Card,TRUE,3.660121294,TRUE,Black Friday,4,TRUE
29,05-12-2022,97,55,Other,City_8,237,Toys,4,42.40679013,Credit Card,TRUE,0,TRUE,Christmas Market,3,TRUE
30,23-11-2021,163,61,Male,City_9,605,Food,3,55.86502778,Cash,FALSE,16.75950833,FALSE,Black Friday,1,FALSE
31,20-12-2018,497,54,Other,City_13,866,Decorations,2,35.49895959,Cash,TRUE,0,FALSE,None,5,TRUE
32,23-12-2020,393,41,Female,City_9,618,Clothing,2,23.48797244,Cash,FALSE,0,TRUE,Christmas Market,4,TRUE
33,05-12-2023,26,54,Other,City_12,318,Clothing,5,24.39762872,Online Payment,FALSE,12.19881436,TRUE,Black Friday,3,TRUE
34,07-11-2018,215,24,Male,City_2,427,Decorations,5,66.24160918,Cash,FALSE,0,TRUE,Christmas Market,1,TRUE
35,15-11-2019,179,67,Male,City_7,813,Clothing,1,91.73863572,Credit Card,TRUE,0,FALSE,Christmas Market,5,TRUE
36,11-11-2018,377,28,Male,City_9,718,Electronics,3,20.08620872,Debit Card,TRUE,0,FALSE,Christmas Market,1,TRUE
37,19-12-2018,177,69,Other,City_9,228,Electronics,3,44.43614065,Online Payment,TRUE,0,FALSE,Christmas Market,3,TRUE
38,17-11-2022,168,54,Other,City_9,924,Electronics,5,74.09690773,Credit Card,FALSE,0,TRUE,Christmas Market,5,TRUE
39,18-12-2022,184,39,Female,City_13,513,Food,5,31.61629973,Debit Card,TRUE,15.80814987,FALSE,Black Friday,4,FALSE
40,17-11-2019,288,45,Other,City_4,146,Clothing,2,18.43094789,Debit Card,FALSE,0,TRUE,None,3,TRUE
41,21-12-2021,359,62,Other,City_6,122,Food,2,93.32665645,Cash,TRUE,0,FALSE,None,2,TRUE
42,22-12-2021,204,59,Male,City_7,68,Food,4,57.36855054,Debit Card,TRUE,0,FALSE,None,2,FALSE
43,16-11-2023,15,42,Female,City_7,171,Electronics,3,77.62282233,Cash,TRUE,0,TRUE,None,3,FALSE
44,04-11-2020,292,34,Other,City_9,759,Decorations,4,87.60777349,Debit Card,FALSE,0,FALSE,None,1,TRUE
45,12-11-2019,292,42,Female,City_6,793,Clothing,3,32.9962309,Online Payment,FALSE,9.898869269,TRUE,Black Friday,3,TRUE
46,24-12-2019,13,23,Other,City_5,968,Electronics,5,85.11299226,Credit Card,FALSE,0,TRUE,None,3,FALSE
47,03-11-2020,317,69,Female,City_2,348,Clothing,3,87.58882257,Cash,FALSE,0,FALSE,Christmas Market,5,FALSE
48,22-11-2022,448,33,Male,City_5,722,Electronics,2,67.92499783,Online Payment,TRUE,0,TRUE,Christmas Market,4,TRUE
49,30-11-2019,333,57,Other,City_6,525,Electronics,4,99.89468474,Cash,TRUE,0,FALSE,None,5,FALSE
50,15-12-2019,403,28,Female,City_7,2,Clothing,1,27.79030372,Debit Card,TRUE,0,TRUE,None,2,FALSE
51,22-11-2018,144,68,Female,City_1,576,Toys,2,91.28600953,Debit Card,FALSE,18.25720191,FALSE,Black Friday,2,TRUE
52,16-12-2023,166,37,Male,City_2,898,Clothing,1,89.65107189,Debit Card,TRUE,0,TRUE,Christmas Market,4,TRUE
53,27-12-2022,50,57,Other,City_1,559,Food,1,43.66667685,Credit Card,FALSE,0,TRUE,Christmas Market,1,FALSE
54,26-12-2020,419,22,Other,City_2,704,Electronics,2,92.30535408,Debit Card,TRUE,18.46107082,FALSE,Black Friday,2,TRUE
55,04-11-2022,455,66,Other,City_18,399,Decorations,5,31.4878916,Cash,FALSE,0,FALSE,Christmas Market,4,FALSE
56,15-12-2021,64,36,Other,City_18,912,Toys,3,45.080534,Debit Card,FALSE,13.5241602,TRUE,Black Friday,4,TRUE
57,22-11-2019,130,57,Male,City_6,95,Decorations,2,24.43791828,Credit Card,TRUE,0,FALSE,None,1,TRUE
58,24-12-2023,167,47,Other,City_10,51,Decorations,1,93.89029546,Online Payment,FALSE,0,FALSE,None,4,FALSE
59,30-12-2021,253,34,Other,City_15,492,Electronics,2,65.86888123,Cash,TRUE,0,TRUE,None,5,FALSE
60,13-12-2020,283,31,Other,City_20,433,Electronics,1,19.96229443,Debit Card,TRUE,0,FALSE,None,4,FALSE
61,26-11-2018,289,18,Male,City_6,420,Electronics,1,24.24178761,Cash,FALSE,2.424178761,TRUE,Black Friday,1,TRUE
62,12-11-2023,292,46,Female,City_13,641,Decorations,2,52.29007831,Debit Card,TRUE,0,TRUE,None,5,FALSE
63,02-11-2018,191,33,Female,City_10,648,Clothing,5,56.26043398,Debit Card,FALSE,0,FALSE,Christmas Market,3,TRUE
64,30-12-2020,401,55,Female,City_12,480,Electronics,2,80.86359592,Credit Card,TRUE,16.17271918,TRUE,Black Friday,4,FALSE
65,25-11-2022,172,69,Female,City_9,801,Decorations,3,10.86556328,Debit Card,TRUE,3.259668985,TRUE,Black Friday,1,FALSE
66,07-11-2021,380,23,Other,City_12,454,Toys,5,96.33759319,Debit Card,TRUE,0,TRUE,None,5,TRUE
67,26-12-2019,273,57,Other,City_2,313,Decorations,2,29.16293855,Cash,FALSE,0,FALSE,None,3,TRUE
68,24-12-2020,497,66,Other,City_2,670,Clothing,4,68.75242368,Debit Card,FALSE,27.50096947,FALSE,Black Friday,5,TRUE
69,26-12-2020,57,44,Female,City_13,280,Decorations,1,83.70982419,Credit Card,TRUE,0,TRUE,Christmas Market,1,TRUE
70,09-12-2020,337,48,Other,City_2,492,Electronics,4,34.53250357,Online Payment,TRUE,0,FALSE,None,4,TRUE
71,22-12-2021,43,49,Male,City_11,479,Toys,4,45.03339629,Cash,FALSE,0,TRUE,None,5,TRUE
72,16-12-2023,137,62,Male,City_16,261,Toys,1,12.65823407,Online Payment,FALSE,1.265823407,TRUE,Black Friday,2,FALSE
73,06-11-2020,13,35,Other,City_20,95,Clothing,3,75.31099581,Debit Card,TRUE,0,FALSE,Christmas Market,3,FALSE
74,16-11-2018,379,54,Female,City_15,535,Toys,1,98.40516391,Cash,TRUE,0,TRUE,Christmas Market,4,FALSE
75,18-12-2019,370,39,Male,City_7,947,Electronics,5,10.49416744,Cash,FALSE,0,TRUE,None,3,FALSE
76,08-12-2018,246,25,Other,City_6,21,Food,3,66.63749009,Credit Card,FALSE,19.99124703,TRUE,Black Friday,2,TRUE
77,12-12-2021,20,53,Male,City_3,368,Clothing,2,58.06705248,Credit Card,FALSE,11.6134105,TRUE,Black Friday,4,FALSE
78,03-12-2022,309,53,Male,City_14,948,Decorations,2,67.75525431,Cash,TRUE,0,TRUE,None,4,TRUE
79,24-12-2020,176,30,Female,City_15,280,Clothing,5,73.71695045,Cash,TRUE,36.85847522,FALSE,Black Friday,3,FALSE
80,17-11-2021,457,26,Female,City_10,704,Electronics,5,36.96888543,Online Payment,FALSE,0,TRUE,None,5,FALSE
81,11-12-2022,395,66,Male,City_1,162,Clothing,3,79.68374049,Credit Card,FALSE,23.90512215,TRUE,Black Friday,2,TRUE
82,27-11-2018,141,19,Male,City_19,403,Food,1,63.44909304,Debit Card,TRUE,6.344909304,TRUE,Black Friday,1,FALSE
83,25-12-2022,424,40,Other,City_7,514,Electronics,3,10.90445886,Cash,FALSE,3.271337658,TRUE,Black Friday,3,FALSE
84,14-12-2022,285,57,Male,City_11,42,Clothing,1,18.37414743,Online Payment,TRUE,1.837414743,TRUE,Black Friday,4,FALSE
85,04-11-2018,88,51,Male,City_1,702,Electronics,2,69.03197538,Credit Card,TRUE,0,FALSE,Christmas Market,2,FALSE
86,08-12-2020,88,39,Male,City_18,154,Toys,4,59.31072414,Online Payment,FALSE,0,FALSE,Christmas Market,4,FALSE
87,09-12-2018,266,19,Female,City_10,877,Electronics,3,52.21764115,Credit Card,FALSE,15.66529234,TRUE,Black Friday,2,TRUE
88,21-11-2019,271,29,Other,City_11,572,Clothing,2,13.13791576,Debit Card,FALSE,0,TRUE,Christmas Market,1,FALSE
89,26-11-2023,197,32,Female,City_6,895,Electronics,4,85.0671237,Cash,TRUE,34.02684948,TRUE,Black Friday,4,FALSE
90,30-11-2023,155,49,Other,City_17,509,Electronics,3,85.37423841,Credit Card,TRUE,25.61227152,TRUE,Black Friday,5,FALSE
91,18-11-2018,483,70,Other,City_15,210,Electronics,2,75.4986668,Cash,FALSE,15.09973336,TRUE,Black Friday,3,FALSE
92,08-11-2022,454,62,Other,City_20,494,Toys,4,39.94097245,Online Payment,TRUE,0,FALSE,None,4,TRUE
93,07-11-2023,53,32,Other,City_12,914,Decorations,2,93.49003467,Credit Card,FALSE,18.69800693,TRUE,Black Friday,3,FALSE
94,11-11-2020,113,33,Male,City_9,364,Electronics,1,68.45961504,Online Payment,TRUE,0,FALSE,None,5,TRUE
95,17-12-2022,411,40,Female,City_16,615,Food,1,64.58862125,Cash,FALSE,6.458862125,FALSE,Black Friday,4,FALSE
96,25-11-2018,464,51,Female,City_5,488,Electronics,5,10.54388751,Cash,FALSE,5.271943756,TRUE,Black Friday,2,FALSE
97,08-12-2019,475,23,Female,City_19,453,Clothing,5,67.63835772,Cash,TRUE,0,TRUE,Christmas Market,2,FALSE
98,18-12-2022,176,69,Other,City_18,792,Clothing,5,31.49499298,Credit Card,TRUE,0,FALSE,Christmas Market,2,FALSE
99,04-11-2022,9,69,Male,City_20,936,Electronics,2,23.8755016,Cash,TRUE,0,TRUE,Christmas Market,5,TRUE
100,03-11-2022,120,19,Other,City_8,13,Food,4,20.04152523,Debit Card,FALSE,0,TRUE,Christmas Market,2,FALSE
101,03-12-2023,420,21,Male,City_6,374,Decorations,1,82.22127485,Credit Card,FALSE,8.222127485,FALSE,Black Friday,4,FALSE
102,17-12-2018,93,43,Other,City_18,209,Decorations,5,24.84182888,Online Payment,FALSE,0,FALSE,None,1,FALSE
103,28-12-2021,266,21,Other,City_5,776,Decorations,1,93.32794426,Cash,FALSE,0,TRUE,Christmas Market,2,FALSE
104,06-12-2018,312,60,Other,City_4,379,Decorations,1,48.94546053,Cash,TRUE,0,FALSE,Christmas Market,2,FALSE
105,09-11-2018,285,22,Female,City_11,752,Decorations,5,60.92595975,Online Payment,TRUE,0,TRUE,Christmas Market,2,FALSE
106,30-12-2018,3,64,Female,City_18,530,Decorations,1,58.36473136,Debit Card,FALSE,5.836473136,FALSE,Black Friday,2,TRUE
107,31-12-2020,358,30,Female,City_1,365,Electronics,2,26.57491349,Online Payment,TRUE,5.314982698,FALSE,Black Friday,1,FALSE
108,25-12-2020,164,26,Other,City_9,485,Clothing,3,44.55040027,Cash,FALSE,13.36512008,FALSE,Black Friday,5,FALSE
109,02-11-2019,161,41,Female,City_9,605,Food,2,52.42564792,Debit Card,TRUE,0,TRUE,Christmas Market,3,TRUE
110,17-11-2018,417,26,Male,City_18,176,Electronics,3,28.07287674,Debit Card,FALSE,8.421863021,FALSE,Black Friday,5,FALSE
111,20-12-2018,471,63,Other,City_17,58,Toys,1,90.03445467,Credit Card,TRUE,0,TRUE,None,2,TRUE
112,27-11-2018,401,36,Other,City_2,73,Clothing,1,93.28315006,Debit Card,FALSE,9.328315006,FALSE,Black Friday,2,FALSE
113,20-11-2022,305,47,Female,City_13,434,Decorations,2,95.04972805,Online Payment,TRUE,0,FALSE,None,4,FALSE
114,26-11-2023,373,40,Female,City_13,187,Toys,5,15.40103189,Credit Card,TRUE,7.700515944,FALSE,Black Friday,2,FALSE
115,05-11-2023,226,44,Female,City_13,426,Decorations,1,93.87027142,Cash,FALSE,0,TRUE,None,1,TRUE
116,14-12-2020,429,55,Male,City_16,838,Decorations,5,85.628004,Online Payment,TRUE,0,FALSE,None,2,FALSE
117,31-12-2019,304,65,Other,City_10,566,Electronics,4,16.80425209,Online Payment,FALSE,0,TRUE,Christmas Market,1,TRUE
118,25-12-2019,30,46,Other,City_16,335,Food,3,63.80302787,Credit Card,TRUE,19.14090836,TRUE,Black Friday,4,TRUE
119,27-12-2020,72,30,Female,City_1,956,Decorations,2,43.82787063,Credit Card,TRUE,0,FALSE,None,2,FALSE
120,12-11-2020,45,41,Other,City_4,415,Toys,5,41.25271553,Online Payment,TRUE,0,FALSE,Christmas Market,1,FALSE
121,01-11-2023,466,67,Male,City_6,620,Decorations,3,56.71009937,Cash,TRUE,17.01302981,TRUE,Black Friday,2,FALSE
122,08-12-2021,291,65,Other,City_11,512,Food,2,43.51874413,Credit Card,TRUE,0,FALSE,Christmas Market,2,TRUE
123,16-12-2021,317,70,Male,City_10,987,Electronics,1,96.27042319,Credit Card,FALSE,9.627042319,FALSE,Black Friday,1,FALSE
124,21-12-2023,371,55,Male,City_3,638,Toys,1,12.52564591,Online Payment,TRUE,0,FALSE,Christmas Market,2,TRUE
125,13-11-2023,467,26,Female,City_15,139,Toys,4,78.02025372,Online Payment,FALSE,31.20810149,TRUE,Black Friday,1,FALSE
126,18-11-2020,457,47,Male,City_3,719,Toys,1,32.83490508,Credit Card,FALSE,0,FALSE,None,3,TRUE
127,29-12-2023,434,43,Female,City_5,141,Decorations,2,64.57932877,Online Payment,FALSE,12.91586575,TRUE,Black Friday,2,TRUE
128,21-12-2023,19,54,Other,City_9,145,Toys,2,33.23136036,Online Payment,TRUE,0,FALSE,Christmas Market,2,FALSE
129,16-12-2019,333,36,Female,City_19,396,Electronics,5,60.58158317,Online Payment,TRUE,30.29079159,FALSE,Black Friday,1,FALSE
130,04-11-2018,75,48,Female,City_4,375,Toys,1,62.24178934,Cash,FALSE,6.224178934,TRUE,Black Friday,2,TRUE
131,19-11-2023,471,37,Other,City_13,894,Clothing,2,79.34499719,Debit Card,FALSE,15.86899944,TRUE,Black Friday,4,FALSE
132,16-11-2018,137,53,Female,City_4,343,Food,2,64.20800364,Online Payment,TRUE,0,TRUE,None,1,TRUE
133,13-12-2019,227,29,Female,City_5,263,Food,3,30.36706054,Debit Card,FALSE,9.110118163,FALSE,Black Friday,3,TRUE
134,03-11-2021,254,63,Other,City_13,702,Toys,4,34.58994702,Online Payment,TRUE,13.83597881,FALSE,Black Friday,3,TRUE
135,30-12-2023,359,45,Male,City_11,201,Electronics,5,42.86629824,Cash,TRUE,0,TRUE,None,1,TRUE
136,06-12-2022,417,21,Other,City_10,832,Clothing,3,79.64581737,Credit Card,TRUE,0,FALSE,None,2,FALSE
137,08-12-2020,417,70,Other,City_18,686,Clothing,2,74.91982179,Debit Card,FALSE,0,FALSE,Christmas Market,3,FALSE
138,27-11-2019,232,39,Female,City_9,24,Food,4,19.83650669,Credit Card,TRUE,7.934602674,TRUE,Black Friday,1,TRUE
139,21-11-2021,217,64,Female,City_7,774,Food,5,20.24507706,Online Payment,TRUE,10.12253853,FALSE,Black Friday,3,FALSE
140,01-11-2019,94,45,Male,City_14,209,Clothing,3,66.87317771,Cash,FALSE,20.06195331,TRUE,Black Friday,1,FALSE
141,08-12-2022,401,65,Other,City_8,401,Toys,5,79.0802051,Cash,FALSE,0,TRUE,Christmas Market,2,FALSE
142,19-11-2021,186,47,Female,City_11,734,Electronics,5,95.91794101,Cash,TRUE,47.95897051,FALSE,Black Friday,5,FALSE
143,01-12-2018,378,27,Other,City_14,182,Clothing,2,97.69059115,Credit Card,TRUE,0,FALSE,Christmas Market,5,TRUE
144,20-11-2023,212,49,Female,City_11,38,Clothing,3,94.72507433,Debit Card,FALSE,0,FALSE,Christmas Market,4,TRUE
145,09-12-2022,68,59,Female,City_8,366,Decorations,4,72.91905732,Credit Card,TRUE,0,FALSE,Christmas Market,2,FALSE
146,22-12-2021,143,37,Female,City_16,484,Electronics,4,34.71138905,Online Payment,FALSE,0,FALSE,Christmas Market,3,FALSE
147,27-12-2020,370,33,Female,City_19,915,Decorations,3,40.2680871,Credit Card,FALSE,0,FALSE,None,3,FALSE
148,12-11-2018,98,36,Male,City_16,970,Toys,4,39.10130304,Debit Card,TRUE,15.64052122,TRUE,Black Friday,2,FALSE
149,24-12-2020,331,66,Female,City_2,129,Electronics,4,74.56407666,Credit Card,TRUE,0,FALSE,None,2,FALSE
150,04-11-2019,78,64,Other,City_8,357,Food,3,15.78257778,Credit Card,FALSE,0,FALSE,Christmas Market,1,TRUE
151,06-11-2018,432,34,Other,City_9,419,Clothing,4,53.57262443,Credit Card,TRUE,0,TRUE,Christmas Market,2,TRUE
152,24-12-2018,307,42,Male,City_19,795,Food,1,63.99392168,Debit Card,FALSE,6.399392168,FALSE,Black Friday,2,FALSE
153,23-11-2021,159,62,Female,City_4,878,Electronics,4,46.70980043,Debit Card,TRUE,18.68392017,FALSE,Black Friday,5,FALSE
154,05-12-2021,161,61,Male,City_19,184,Electronics,1,99.40286997,Credit Card,FALSE,0,FALSE,None,2,FALSE
155,04-12-2020,435,44,Male,City_5,522,Clothing,3,29.56716656,Debit Card,FALSE,8.870149968,TRUE,Black Friday,1,FALSE
156,20-11-2023,341,44,Male,City_10,56,Food,4,44.25450392,Online Payment,TRUE,0,TRUE,Christmas Market,5,TRUE
157,27-11-2018,345,64,Other,City_7,212,Electronics,3,82.18127316,Debit Card,TRUE,24.65438195,FALSE,Black Friday,3,FALSE
158,06-11-2018,4,42,Female,City_16,195,Clothing,1,49.98076168,Online Payment,TRUE,0,TRUE,Christmas Market,3,FALSE
159,23-12-2022,336,18,Male,City_1,286,Electronics,5,36.30661711,Online Payment,TRUE,0,TRUE,None,1,TRUE
160,19-12-2023,412,36,Female,City_2,687,Clothing,5,92.81888365,Credit Card,TRUE,0,FALSE,Christmas Market,5,TRUE
161,01-12-2023,227,21,Other,City_4,230,Clothing,3,69.84072245,Debit Card,FALSE,0,TRUE,None,3,FALSE
162,14-12-2019,467,67,Male,City_3,245,Toys,2,53.53723003,Cash,FALSE,10.70744601,TRUE,Black Friday,2,TRUE
163,08-12-2019,464,60,Other,City_9,846,Decorations,2,42.22908314,Debit Card,FALSE,0,FALSE,None,4,TRUE
164,26-11-2023,477,51,Male,City_11,149,Food,5,71.93287475,Credit Card,FALSE,35.96643737,TRUE,Black Friday,3,TRUE
165,08-11-2023,225,62,Male,City_3,898,Decorations,5,78.98247075,Credit Card,TRUE,0,FALSE,None,1,TRUE
166,16-12-2022,455,38,Other,City_8,356,Electronics,3,25.97629142,Cash,FALSE,0,FALSE,Christmas Market,3,TRUE
167,11-12-2020,422,22,Male,City_8,219,Toys,2,22.86503683,Cash,FALSE,0,TRUE,Christmas Market,5,FALSE
168,06-11-2018,436,69,Other,City_6,461,Electronics,3,40.07580389,Cash,TRUE,0,TRUE,None,3,TRUE
169,20-12-2022,477,33,Female,City_14,323,Clothing,1,35.67846526,Online Payment,TRUE,3.567846526,FALSE,Black Friday,4,TRUE
170,10-12-2019,302,28,Female,City_9,971,Toys,1,39.10743922,Online Payment,TRUE,3.910743922,TRUE,Black Friday,1,FALSE
171,24-12-2018,82,25,Male,City_20,780,Electronics,2,48.77938614,Cash,TRUE,0,FALSE,Christmas Market,4,TRUE
172,26-11-2023,14,46,Male,City_2,107,Decorations,2,81.41768977,Cash,FALSE,16.28353795,TRUE,Black Friday,1,TRUE
173,18-12-2023,300,51,Female,City_10,467,Decorations,5,94.26283738,Cash,TRUE,0,FALSE,Christmas Market,2,TRUE
174,14-11-2018,457,24,Male,City_10,747,Clothing,3,98.66939399,Debit Card,FALSE,0,TRUE,None,5,FALSE
175,04-11-2020,380,45,Female,City_7,304,Food,3,32.59862089,Online Payment,FALSE,0,TRUE,Christmas Market,5,FALSE
176,15-12-2020,382,24,Female,City_19,373,Decorations,5,83.18710145,Credit Card,FALSE,0,FALSE,None,1,FALSE
177,10-11-2019,467,26,Male,City_10,847,Decorations,5,22.07634616,Online Payment,FALSE,0,TRUE,None,5,TRUE
178,11-11-2018,189,61,Other,City_16,258,Electronics,4,84.08257856,Debit Card,TRUE,33.63303143,TRUE,Black Friday,3,TRUE
179,02-12-2020,498,69,Female,City_13,119,Food,3,29.43237499,Cash,FALSE,8.829712498,TRUE,Black Friday,1,FALSE
180,20-12-2019,407,22,Male,City_9,385,Decorations,1,68.30595667,Debit Card,FALSE,0,FALSE,Christmas Market,3,TRUE
181,03-11-2020,207,25,Female,City_18,232,Toys,4,85.9689014,Credit Card,TRUE,0,FALSE,Christmas Market,4,FALSE
182,11-12-2023,304,61,Male,City_17,100,Toys,5,52.94150768,Online Payment,FALSE,0,TRUE,None,2,FALSE
183,12-12-2022,326,36,Female,City_14,531,Clothing,1,92.28586171,Debit Card,TRUE,0,TRUE,Christmas Market,1,TRUE
184,20-12-2018,173,33,Male,City_7,789,Clothing,4,37.4823265,Debit Card,FALSE,0,FALSE,None,5,TRUE
185,18-11-2023,394,63,Other,City_7,718,Toys,3,94.98840545,Credit Card,FALSE,28.49652163,FALSE,Black Friday,3,TRUE
186,08-11-2018,292,65,Male,City_19,996,Electronics,5,49.71041533,Credit Card,TRUE,0,FALSE,Christmas Market,3,FALSE
187,10-11-2022,366,34,Female,City_7,891,Food,5,52.56871643,Credit Card,FALSE,0,TRUE,Christmas Market,3,TRUE
188,29-12-2021,95,45,Other,City_13,996,Electronics,4,12.37963944,Cash,TRUE,0,TRUE,None,3,FALSE
189,11-11-2020,410,51,Male,City_5,710,Clothing,2,40.19772976,Online Payment,TRUE,0,FALSE,Christmas Market,3,FALSE
190,03-11-2022,181,55,Female,City_7,733,Electronics,1,65.89275345,Online Payment,TRUE,0,TRUE,Christmas Market,5,FALSE
191,06-11-2022,380,39,Female,City_12,880,Electronics,1,55.16615741,Credit Card,FALSE,0,FALSE,Christmas Market,5,TRUE
192,16-11-2018,464,63,Other,City_3,255,Toys,4,33.26879101,Online Payment,TRUE,0,FALSE,None,4,TRUE
193,22-11-2021,124,34,Other,City_5,701,Clothing,1,32.59441154,Online Payment,FALSE,0,TRUE,Christmas Market,5,FALSE
194,19-12-2018,41,42,Female,City_6,39,Electronics,2,49.84778564,Credit Card,TRUE,0,TRUE,Christmas Market,1,FALSE
195,26-11-2018,404,35,Male,City_2,13,Clothing,4,69.18944965,Debit Card,FALSE,27.67577986,FALSE,Black Friday,4,TRUE
196,27-12-2018,231,37,Other,City_4,232,Electronics,1,28.84486536,Cash,TRUE,2.884486536,FALSE,Black Friday,2,FALSE
197,17-12-2019,293,61,Other,City_2,398,Decorations,3,50.37402804,Online Payment,TRUE,0,FALSE,None,5,FALSE
198,16-11-2022,476,18,Male,City_17,619,Clothing,5,44.81230767,Online Payment,FALSE,22.40615383,FALSE,Black Friday,1,TRUE
199,04-11-2018,20,36,Male,City_6,765,Toys,5,77.14007447,Credit Card,FALSE,0,TRUE,Christmas Market,5,TRUE
200,04-12-2020,433,51,Other,City_10,824,Decorations,3,34.62769797,Debit Card,TRUE,0,FALSE,Christmas Market,2,FALSE
201,27-11-2020,200,34,Other,City_7,254,Toys,3,47.00499203,Online Payment,TRUE,14.10149761,TRUE,Black Friday,3,FALSE
202,11-11-2019,499,59,Male,City_18,951,Clothing,5,54.73277619,Credit Card,TRUE,0,FALSE,None,3,TRUE
203,13-12-2023,174,19,Other,City_12,628,Toys,4,71.84378321,Cash,TRUE,0,FALSE,None,4,FALSE
204,17-12-2022,333,31,Female,City_20,966,Toys,3,13.78494995,Credit Card,TRUE,0,TRUE,None,3,TRUE
205,03-12-2018,19,29,Female,City_9,188,Food,4,71.24184341,Cash,FALSE,0,TRUE,Christmas Market,1,FALSE
206,17-11-2021,444,45,Other,City_19,833,Clothing,5,43.28973054,Cash,TRUE,0,FALSE,None,3,FALSE
207,31-12-2022,418,55,Female,City_17,190,Electronics,5,96.21304286,Debit Card,TRUE,0,TRUE,Christmas Market,2,TRUE
208,02-11-2022,48,66,Female,City_7,544,Toys,2,26.39695395,Debit Card,FALSE,0,FALSE,None,5,TRUE
209,09-12-2021,195,22,Other,City_3,435,Clothing,5,15.12739394,Debit Card,FALSE,0,TRUE,Christmas Market,1,TRUE
210,22-11-2021,301,23,Female,City_2,35,Food,4,50.47347321,Cash,FALSE,0,FALSE,None,3,FALSE
